State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Literacy rate,Male_Literate %,Female_Literate %,Sex Ratio
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,1179790,885233,12952,59006,758738,288249,58.78941836418628,67.06091863664759,50.4896780062682,997.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,1379223,1273166,12050,55613,1007255,248373,67.37139716218022,70.19239479713657,64.56059893065483,1004.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,44027,29147,170,1486,33422,6498,49.3665079000985,57.2165618339658,40.892000336709785,926.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,21599,16850,57,885,14503,5215,48.861354682933026,55.70341715022566,42.21470625078291,1029.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,34210,28366,450,1582,19497,9524,63.07174390710988,68.26163301141352,57.77424742352031,980.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,20258,16348,95,969,18603,1092,39.756288283591815,44.7018844609206,34.963000983788874,1032.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,48380,34682,312,1471,33599,11372,56.998751080795465,63.473321000774064,49.89856844831307,912.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,18087,13762,207,742,12000,3950,58.89238165680474,64.47438776601433,52.87585968417413,928.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,29470,24587,381,1598,18112,5365,65.1053835962905,70.42994049183854,59.696020589020804,984.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,65794,55254,2477,7418,20308,30180,68.55408244748631,73.77497701329865,63.22619033996636,980.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,17720,8353,96,494,10730,2452,52.169998199171616,60.786936983293884,40.10851819840584,714.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,29313,18661,98,888,18420,6500,42.843491850859564,50.88709117422401,34.32160526751393,944.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,10723,7472,97,392,8569,2182,51.514722536806346,57.34531258356061,44.95517718548824,889.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,24807,20471,139,750,14542,4672,54.25893969897421,59.40658077494133,49.10290237467018,998.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,202,887,17889,6306,57.76501840446948,64.05806521503628,50.079381879762906,819.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,303,1300,22272,8503,57.66784829969539,63.22548480264063,51.692973052896164,930.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,2078,25286,447189,52192,52.9668367557814,57.55890399582931,48.15041530670757,953.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,2523,12959,181923,38470,58.75414859692151,63.09277362978889,54.26214785143229,966.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,5316,37541,346227,88933,67.61007176596797,72.20552328598959,62.82033038821262,959.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,1166,12084,268517,20189,52.4543887991384,56.52877398884431,48.18181617600011,954.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,1192,10410,211758,16504,61.65393589872517,67.69015712500249,55.32273861994004,953.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,8817,34479,299852,77163,66.68986342062902,72.63990278430713,60.49690645190575,961.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,1364,13524,228610,39504,55.90026810608788,59.284383937407945,52.39032433404528,964.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,3073,17636,292893,34190,67.6513373475004,72.99401098385194,62.11041248589437,964.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,1211,10615,159215,16202,61.78802844245984,67.13309065080352,56.16883318917506,951.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,5651,26357,286330,80824,72.7786343128351,77.64567487720117,67.71749422449487,962.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,3109,23468,390596,43849,65.58757517090137,70.68035521368444,60.223439650051894,949.0
